vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
3.981071705534969e-06,3.9810717055349695e-05,20.24724648782394,10.854010758258765,3.0150029884052134e-07,1.8090017930431276e-07,1.6750016602251184e-07,0.007996369043702793,0.00632207825733745,8.450382141798398e-05,3.981071705534969e-06,1.9662286958026913e-07,membrane,True
5.623413251903491e-06,5.6234132519034914e-05,28.599995839282542,10.91231056441223,3.031197379003398e-07,1.8187184274020384e-07,1.6839985438907765e-07,0.00750219283827701,0.00633115041547046,6.007229242730004e-05,5.623413251903491e-06,1.9662286958026913e-07,membrane,True
7.943282347242822e-06,7.943282347242822e-05,40.39856789904118,10.95280916518779,3.042446990329943e-07,1.8254681941979652e-07,1.6902483279610792e-07,0.007158907908587218,0.006337000510779603,4.264868343354652e-05,7.943282347242822e-06,1.9662286958026913e-07,membrane,True
1.122018454301963e-05,0.0001122018454301963,57.064493906387185,10.981092934876505,3.0503035930212517e-07,1.8301821558127508e-07,1.6946131072340287e-07,0.0069191615543178235,0.006340858123151432,3.0252201103331265e-05,1.122018454301963e-05,1.9662286958026913e-07,membrane,True
1.584893192461114e-05,0.00015848931924611142,80.60574010766834,11.000922875175307,3.055811909770919e-07,1.8334871458625512e-07,1.697673283206066e-07,0.006751073780151212,0.0063434479374593605,2.1446160788625145e-05,1.584893192461114e-05,1.9662286958026913e-07,membrane,True
2.238721138568338e-05,0.0002238721138568338,113.85863421418557,11.014864679436469,3.059684633176798e-07,1.8358107799060783e-07,1.699824796209332e-07,0.006632896578868031,0.006345211057788799,1.5197215920513405e-05,2.238721138568338e-05,1.9662286958026913e-07,membrane,True
3.1622776601683795e-05,0.00031622776601683794,160.82959560700615,11.0246863366676,3.062412871296556e-07,1.8374477227779332e-07,1.701340484053642e-07,0.00654964365537302,0.0063464241584298255,1.0766014245297621e-05,3.1622776601683795e-05,1.9662286958026913e-07,membrane,True
4.466835921509625e-05,0.0004466835921509625,227.17784208139065,11.03161532179369,3.064337589387137e-07,1.838602553632282e-07,1.7024097718817426e-07,0.006490910362709206,0.0063472654356258274,7.625347673956299e-06,4.466835921509625e-05,1.9662286958026913e-07,membrane,True
6.309573444801929e-05,0.000630957344480193,320.89723124634367,11.03650854353918,3.065696817649773e-07,1.8394180905898633e-07,1.703164898694318e-07,0.006449433144961425,0.006347852247389584,5.40012658193213e-06,6.309573444801929e-05,1.9662286958026913e-07,membrane,True
8.912509381337459e-05,0.0008912509381337459,453.2793871009509,11.039966607394824,3.0666573909430074e-07,1.8399944345658043e-07,1.703698550523893e-07,0.006420120991336422,0.0063482632916435945,3.823893396788731e-06,8.912509381337459e-05,1.9662286958026913e-07,membrane,True
0.0001258925411794166,0.0012589254117941662,640.2741524836832,11.04241168764418,3.0673365799011616e-07,1.8404019479406966e-07,1.7040758777228675e-07,0.006399395356737692,0.006348552092718744,2.7075576613848636e-06,0.0001258925411794166,1.9662286958026913e-07,membrane,True
0.00017782794100389227,0.0017782794100389228,904.4112792347178,11.04414114814371,3.0678169855954755e-07,1.840690191357285e-07,1.7043427697752642e-07,0.006384735647155402,0.006348755448544256,1.9170284757657344e-06,0.00017782794100389227,1.9662286958026913e-07,membrane,True
0.0002511886431509577,0.002511886431509577,1277.5148876993308,11.045364748940347,3.068156874705653e-07,1.8408941248233914e-07,1.704531597058696e-07,0.006374363839115648,0.006348898862625224,1.357264604558006e-06,0.0002511886431509577,1.9662286958026913e-07,membrane,True
0.0003548133892335753,0.0035481338923357532,1804.537742689828,11.046230609400455,3.0683973915001273e-07,1.841038434900076e-07,1.7046652175000707e-07,0.006367024404157576,0.006349000116074003,9.609260372286552e-07,0.0003548133892335753,1.9662286958026913e-07,membrane,True
0.0005011872336272725,0.0050118723362727255,2548.9773122381794,11.046843399947356,3.068567611096488e-07,1.8411405666578928e-07,1.7047597839424934e-07,0.006361830107139846,0.006349071659757569,6.803117310104216e-07,0.0005011872336272725,1.9662286958026913e-07,membrane,True
0.0007079457843841374,0.0070794578438413735,3600.5261539280214,11.047277126360902,3.0686880906558064e-07,1.8412128543934835e-07,1.7048267170310035e-07,0.006358153640829222,0.006349122239531023,4.816379474527574e-07,0.0007079457843841374,1.9662286958026913e-07,membrane,True
0.001,0.01,5085.8783728195,11.047584132999669,3.068773370277687e-07,1.8412640221666117e-07,1.7048740945987148e-07,0.006355551310121858,0.0063491580125514665,3.4098063221020906e-07,0.001,1.9662286958026913e-07,membrane,True
