Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
1.7782794100389227e-06,0.30000000000000004,10.0,13.566169188520764,7.34746067953643
3.162277660168379e-06,0.30000000000000004,10.0,24.124439341050916,7.427699164745607
5.623413251903491e-06,0.30000000000000004,10.0,42.899993758923806,7.471017229121477
9.999999999999999e-06,0.30000000000000004,10.0,76.28817559229249,7.494815546955518
1.778279410038923e-05,0.30000000000000004,10.0,135.66169188520766,7.50802270800512
3.1622776601683795e-05,0.30000000000000004,10.0,241.2443934105092,7.515394458205733
5.623413251903491e-05,0.30000000000000004,10.0,428.999937589238,7.519522512537514
0.0001,0.30000000000000004,10.0,762.881755922925,7.5218384020243905
0.00017782794100389227,0.30000000000000004,10.0,1356.6169188520764,7.523138989643603
0.00031622776601683794,0.30000000000000004,10.0,2412.443934105092,7.523869816220889
0.0005623413251903491,0.30000000000000004,10.0,4289.999375892381,7.524280617154322
0.001,0.30000000000000004,10.0,7628.817559229249,7.524511572758916
1e-09,0.35,10.0,0.006538986479339359,nan
1.7782794100389228e-09,0.35,10.0,0.011628145018732088,0.08106201880793608
3.1622776601683795e-09,0.35,10.0,0.020678090863757936,0.14371396646109094
5.623413251903491e-09,0.35,10.0,0.036771423221934704,0.2541877758406566
1e-08,0.35,10.0,0.06538986479339359,0.4476985129004621
1.7782794100389228e-08,0.35,10.0,0.11628145018732088,0.7826474058149716
3.162277660168379e-08,0.35,10.0,0.20678090863757934,1.3499770013034238
5.6234132519034905e-08,0.35,10.0,0.36771423221934696,2.2725218045699154
1e-07,0.35,10.0,0.6538986479339358,3.6544484558037795
1.7782794100389227e-07,0.35,10.0,1.1628145018732086,5.384075456121394
3.162277660168379e-07,0.35,10.0,2.0678090863757936,6.904808596165046
5.62341325190349e-07,0.35,10.0,3.6771423221934696,7.799355012899336
1e-06,0.35,10.0,6.538986479339358,8.242161129464513
1.7782794100389227e-06,0.35,10.0,11.628145018732086,8.463162257556766
3.162277660168379e-06,0.35,10.0,20.678090863757934,8.578127129760913
5.623413251903491e-06,0.35,10.0,36.771423221934704,8.63985256902337
9.999999999999999e-06,0.35,10.0,65.38986479339358,8.673650445472996
1.778279410038923e-05,0.35,10.0,116.28145018732089,8.692370467975604
3.1622776601683795e-05,0.35,10.0,206.78090863757936,8.702807644195325
5.623413251903491e-05,0.35,10.0,367.714232219347,8.70864858486437
0.0001,0.35,10.0,653.8986479339359,8.711924252190602
0.00017782794100389227,0.35,10.0,1162.8145018732087,8.71376347337154
0.00031622776601683794,0.35,10.0,2067.8090863757934,8.714796850717143
0.0005623413251903491,0.35,10.0,3677.14232219347,8.715377680024947
0.001,0.35,10.0,6538.986479339359,8.715704215219729
1e-09,0.4,10.0,0.005721613169421939,0.045667308542948946
1.7782794100389228e-09,0.4,10.0,0.010174626891390575,0.08107715465111347
3.1622776601683795e-09,0.4,10.0,0.018093329505788194,0.14376207595296706
5.623413251903491e-09,0.4,10.0,0.032174995319192864,0.2543412977082592
1e-08,0.4,10.0,0.05721613169421938,0.44819182987546125
1.7782794100389228e-08,0.4,10.0,0.10174626891390576,0.784251809856736
3.162277660168379e-08,0.4,10.0,0.18093329505788192,1.3553014792086138
5.6234132519034905e-08,0.4,10.0,0.32174995319192856,2.290741482613712
1e-07,0.4,10.0,0.5721613169421937,3.718687168678056
1.7782794100389227e-07,0.4,10.0,1.0174626891390575,5.599566339706148
3.162277660168379e-07,0.4,10.0,1.8093329505788192,7.434896271478921
5.62341325190349e-07,0.4,10.0,3.2174995319192856,8.62890196832054
1e-06,0.4,10.0,5.721613169421938,9.24026118797926
1.7782794100389227e-06,0.4,10.0,10.174626891390576,9.545131173480312
3.162277660168379e-06,0.4,10.0,18.09332950578819,9.702736502559466
5.623413251903491e-06,0.4,10.0,32.17499531919286,9.786941895959792
9.999999999999999e-06,0.4,10.0,57.21613169421938,9.832905642893385
1.778279410038923e-05,0.4,10.0,101.74626891390577,9.858317251674496
3.1622776601683795e-05,0.4,10.0,180.93329505788194,9.872470201542356
5.623413251903491e-05,0.4,10.0,321.74995319192857,9.88038579247195
0.0001,0.4,10.0,572.1613169421938,9.884823424655764
0.00017782794100389227,0.4,10.0,1017.4626891390575,9.887314582402789
0.00031622776601683794,0.4,10.0,1809.3329505788192,9.888714102483657
0.0005623413251903491,0.4,10.0,3217.4995319192863,9.889500680273917
0.001,0.4,10.0,5721.613169421938,9.889942869461157
1e-09,0.45000000000000007,10.0,0.0050858783728195,0.04567094926566141
1.7782794100389228e-09,0.45000000000000007,10.0,0.009044112792347177,nan
3.1622776601683795e-09,0.45000000000000007,10.0,0.016082959560700615,0.14379940743667166
5.623413251903491e-09,0.45000000000000007,10.0,0.028599995839282542,0.2544602121866179
1e-08,0.45000000000000007,10.0,0.050858783728195,0.4485727359165715
1.7782794100389228e-08,0.45000000000000007,10.0,0.09044112792347178,0.7854838311962873
3.162277660168379e-08,0.45000000000000007,10.0,0.16082959560700613,1.3593523400458143
5.6234132519034905e-08,0.45000000000000007,10.0,0.2859999583928254,2.3044046764110675
1e-07,0.45000000000000007,10.0,0.50858783728195,3.7661061580481747
1.7782794100389227e-07,0.45000000000000007,10.0,0.9044112792347178,5.760599902073736
3.162277660168379e-07,0.45000000000000007,10.0,1.6082959560700614,7.868151905655529
5.62341325190349e-07,0.45000000000000007,10.0,2.859999583928254,9.377978650065405
1e-06,0.45000000000000007,10.0,5.0858783728195,10.186965708943763
1.7782794100389227e-06,0.45000000000000007,10.0,9.044112792347176,10.592501036224759
3.162277660168379e-06,0.45000000000000007,10.0,16.082959560700612,10.801250833554185
5.623413251903491e-06,0.45000000000000007,10.0,28.599995839282542,10.912310565539912
9.999999999999999e-06,0.45000000000000007,10.0,50.858783728195,10.972760648768073
1.778279410038923e-05,0.45000000000000007,10.0,90.44112792347178,11.006123594781892
3.1622776601683795e-05,0.45000000000000007,10.0,160.82959560700615,11.024686336667568
5.623413251903491e-05,0.45000000000000007,10.0,285.9999583928254,11.035062295184238
0.0001,0.45000000000000007,10.0,508.58783728195004,11.04087734998722
0.00017782794100389227,0.45000000000000007,10.0,904.4112792347178,11.04414114814318
